date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2025-04-15,KXHIGHNY-25APR15-T69,KXHIGHNY-25APR15,Above 69F,69.0,69.0,,above,greater,0.01,0,69.0,no,0,15622,0.0,0.01
2025-04-16,KXHIGHNY-25APR16-T49,KXHIGHNY-25APR16,Below 49F,49.0,,49.0,below,less,0.01,0,50.0,no,0,4238,0.0,0.01
2025-04-16,KXHIGHNY-25APR16-B49.5,KXHIGHNY-25APR16,49-51F,49.0,49.0,51.0,between,between,0.99,1,50.0,yes,100,24758,0.99,1.0
2025-04-16,KXHIGHNY-25APR16-B51.5,KXHIGHNY-25APR16,51-53F,51.0,51.0,53.0,between,between,0.01,0,50.0,no,0,20286,0.0,0.01
2025-04-16,KXHIGHNY-25APR16-B53.5,KXHIGHNY-25APR16,53-55F,53.0,53.0,55.0,between,between,0.02,0,50.0,no,0,13107,0.0,0.01
2025-04-16,KXHIGHNY-25APR16-B55.5,KXHIGHNY-25APR16,55-57F,55.0,55.0,57.0,between,between,0.01,0,50.0,no,0,893,0.0,0.01
2025-04-16,KXHIGHNY-25APR16-T56,KXHIGHNY-25APR16,Above 56F,56.0,56.0,,above,greater,0.01,0,50.0,no,0,1034,0.0,0.01
2025-04-17,KXHIGHNY-25APR17-T60,KXHIGHNY-25APR17,Below 60F,60.0,,60.0,below,less,0.01,0,64.0,no,0,4816,0.0,0.01
2025-04-17,KXHIGHNY-25APR17-B60.5,KXHIGHNY-25APR17,60-62F,60.0,60.0,62.0,between,between,0.01,0,64.0,no,0,19311,0.0,0.01
2025-04-17,KXHIGHNY-25APR17-B62.5,KXHIGHNY-25APR17,62-64F,62.0,62.0,64.0,between,between,0.01,0,64.0,no,0,18314,0.0,0.01
2025-04-17,KXHIGHNY-25APR17-B64.5,KXHIGHNY-25APR17,64-66F,64.0,64.0,66.0,between,between,0.99,1,64.0,yes,100,34576,0.99,1.0
2025-04-17,KXHIGHNY-25APR17-B66.5,KXHIGHNY-25APR17,66-68F,66.0,66.0,68.0,between,between,0.01,0,64.0,no,0,7132,0.0,0.01
2025-04-17,KXHIGHNY-25APR17-T67,KXHIGHNY-25APR17,Above 67F,67.0,67.0,,above,greater,0.01,0,64.0,no,0,2726,0.0,0.01
2025-04-18,KXHIGHNY-25APR18-T62,KXHIGHNY-25APR18,Below 62F,62.0,,62.0,below,less,0.01,0,68.0,no,0,18,0.0,0.01
2025-04-18,KXHIGHNY-25APR18-B62.5,KXHIGHNY-25APR18,62-64F,62.0,62.0,64.0,between,between,0.01,0,68.0,no,0,3952,0.0,0.01
2025-04-18,KXHIGHNY-25APR18-B64.5,KXHIGHNY-25APR18,64-66F,64.0,64.0,66.0,between,between,0.01,0,68.0,no,0,9635,0.0,0.01
2025-04-18,KXHIGHNY-25APR18-B66.5,KXHIGHNY-25APR18,66-68F,66.0,66.0,68.0,between,between,0.01,0,68.0,no,0,8314,0.0,0.01
2025-04-18,KXHIGHNY-25APR18-B68.5,KXHIGHNY-25APR18,68-70F,68.0,68.0,70.0,between,between,0.99,1,68.0,yes,100,13254,0.99,1.0
2025-04-18,KXHIGHNY-25APR18-T69,KXHIGHNY-25APR18,Above 69F,69.0,69.0,,above,greater,0.01,0,68.0,no,0,10273,0.0,0.01
2025-04-19,KXHIGHNY-25APR19-T79,KXHIGHNY-25APR19,Below 79F,79.0,,79.0,below,less,0.01,0,85.0,no,0,2691,0.0,0.01
2025-04-19,KXHIGHNY-25APR19-B79.5,KXHIGHNY-25APR19,79-81F,79.0,79.0,81.0,between,between,0.01,0,85.0,no,0,3314,0.0,0.01
2025-04-19,KXHIGHNY-25APR19-B81.5,KXHIGHNY-25APR19,81-83F,81.0,81.0,83.0,between,between,0.01,0,85.0,no,0,10830,0.0,0.01
2025-04-19,KXHIGHNY-25APR19-B83.5,KXHIGHNY-25APR19,83-85F,83.0,83.0,85.0,between,between,0.01,0,85.0,no,0,26149,0.0,0.01
2025-04-19,KXHIGHNY-25APR19-B85.5,KXHIGHNY-25APR19,85-87F,85.0,85.0,87.0,between,between,0.99,1,85.0,yes,100,14311,0.99,1.0
2025-04-19,KXHIGHNY-25APR19-T86,KXHIGHNY-25APR19,Above 86F,86.0,86.0,,above,greater,0.01,0,85.0,no,0,12773,0.0,0.01
2025-04-20,KXHIGHNY-25APR20-T68,KXHIGHNY-25APR20,Below 68F,68.0,,68.0,below,less,0.01,0,73.0,no,0,49737,0.0,0.01
2025-04-20,KXHIGHNY-25APR20-B68.5,KXHIGHNY-25APR20,68-70F,68.0,68.0,70.0,between,between,0.01,0,73.0,no,0,24883,0.0,0.01
2025-04-20,KXHIGHNY-25APR20-B70.5,KXHIGHNY-25APR20,70-72F,70.0,70.0,72.0,between,between,0.01,0,73.0,no,0,10528,0.0,0.01
2025-04-20,KXHIGHNY-25APR20-B72.5,KXHIGHNY-25APR20,72-74F,72.0,72.0,74.0,between,between,0.99,1,73.0,yes,100,40108,0.99,1.0
2025-04-20,KXHIGHNY-25APR20-B74.5,KXHIGHNY-25APR20,74-76F,74.0,74.0,76.0,between,between,0.01,0,73.0,no,0,6801,0.0,0.01
2025-04-20,KXHIGHNY-25APR20-T75,KXHIGHNY-25APR20,Above 75F,75.0,75.0,,above,greater,0.01,0,73.0,no,0,483,0.0,0.01
2025-04-21,KXHIGHNY-25APR21-T54,KXHIGHNY-25APR21,Below 54F,54.0,,54.0,below,less,0.01,0,57.0,no,0,829,0.0,0.01
2025-04-21,KXHIGHNY-25APR21-B54.5,KXHIGHNY-25APR21,54-56F,54.0,54.0,56.0,between,between,0.01,0,57.0,no,0,3313,0.0,0.01
2025-04-21,KXHIGHNY-25APR21-B56.5,KXHIGHNY-25APR21,56-58F,56.0,56.0,58.0,between,between,0.99,1,57.0,yes,100,17795,0.99,1.0
2025-04-21,KXHIGHNY-25APR21-B58.5,KXHIGHNY-25APR21,58-60F,58.0,58.0,60.0,between,between,0.01,0,57.0,no,0,12034,0.0,0.01
2025-04-21,KXHIGHNY-25APR21-B60.5,KXHIGHNY-25APR21,60-62F,60.0,60.0,62.0,between,between,0.01,0,57.0,no,0,10955,0.0,0.01
2025-04-21,KXHIGHNY-25APR21-T61,KXHIGHNY-25APR21,Above 61F,61.0,61.0,,above,greater,0.01,0,57.0,no,0,4412,0.0,0.01
2025-04-22,KXHIGHNY-25APR22-B74.5,KXHIGHNY-25APR22,74-76F,74.0,74.0,76.0,between,between,0.01,0,82.0,no,0,3814,0.0,0.01
2025-04-22,KXHIGHNY-25APR22-T74,KXHIGHNY-25APR22,Below 74F,74.0,,74.0,below,less,0.01,0,82.0,no,0,402,0.0,0.01
2025-04-22,KXHIGHNY-25APR22-B76.5,KXHIGHNY-25APR22,76-78F,76.0,76.0,78.0,between,between,0.01,0,82.0,no,0,10060,0.0,0.01
