date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2023-07-28,HIGHNY-23JUL28-B90.5,90-91F,90.0,91.0,between,between,0.135,9,18,0,275,2023-07-28 03:00:00 UTC
2023-07-28,HIGHNY-23JUL28-T90,Below 89F,,89.0,below,less,0.09,3,15,0,10,2023-07-28 02:00:00 UTC
2023-07-29,HIGHNY-23JUL29-T96,Above 97F,97.0,,above,greater,0.04,0,8,0,0,2023-07-29 04:00:00 UTC
2023-07-29,HIGHNY-23JUL29-B95.5,95-96F,95.0,96.0,between,between,0.11,8,14,0,430,2023-07-29 04:00:00 UTC
2023-07-29,HIGHNY-23JUL29-T89,Below 88F,,88.0,below,less,0.14,10,18,0,50,2023-07-29 04:00:00 UTC
2023-07-29,HIGHNY-23JUL29-B93.5,93-94F,93.0,94.0,between,between,0.31,28,34,0,50,2023-07-29 04:00:00 UTC
2023-07-29,HIGHNY-23JUL29-B91.5,91-92F,91.0,92.0,between,between,0.325,30,35,100,321,2023-07-29 04:00:00 UTC
2023-07-29,HIGHNY-23JUL29-B89.5,89-90F,89.0,90.0,between,between,0.19,16,22,70,650,2023-07-29 04:00:00 UTC
2023-07-30,HIGHNY-23JUL30-T87,Above 88F,88.0,,above,greater,,,,,,
2023-07-30,HIGHNY-23JUL30-T80,Below 79F,,79.0,below,less,0.53,7,99,301,1691,2023-07-30 02:00:00 UTC
2023-07-30,HIGHNY-23JUL30-B86.5,86-87F,86.0,87.0,between,between,0.115,0,23,0,0,2023-07-30 02:00:00 UTC
2023-07-30,HIGHNY-23JUL30-B84.5,84-85F,84.0,85.0,between,between,0.145,10,19,0,625,2023-07-30 03:00:00 UTC
2023-07-30,HIGHNY-23JUL30-B82.5,82-83F,82.0,83.0,between,between,0.4,28,52,0,211,2023-07-30 04:00:00 UTC
2023-07-30,HIGHNY-23JUL30-B80.5,80-81F,80.0,81.0,between,between,0.37,34,40,0,311,2023-07-30 04:00:00 UTC
2023-07-31,HIGHNY-23JUL31-T85,Above 86F,86.0,,above,greater,0.495,0,99,0,388,2023-07-31 04:00:00 UTC
2023-07-31,HIGHNY-23JUL31-B84.5,84-85F,84.0,85.0,between,between,0.28,25,31,120,140,2023-07-31 04:00:00 UTC
2023-07-31,HIGHNY-23JUL31-B82.5,82-83F,82.0,83.0,between,between,0.395,36,43,0,241,2023-07-31 04:00:00 UTC
